file,num_banks,min,max,mean,median,std,variance
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=15--00002.csv,15,6,1053,746.1,900.0,339.0941332085688,114984.83117647059

/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=16--00000.csv,16,5,1123,571.7142857142857,555.0,340.5608013832119,115981.65943877552
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=16--00001.csv,16,8,1121,524.0734693877552,502.0,349.60470200424015,122223.44766347355
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=16--00002.csv,16,1,1121,534.6916666666667,488.5,351.3581694850554,123452.5632638889
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00000.csv,7,4,761,603.4844720496894,759.0,228.07585927706097,52018.59758496971
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00001.csv,7,1,828,471.0,485.0,273.73906858521843,74933.07766990291
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=7--00002.csv,7,4,760,469.49029126213594,507.0,267.92052038906286,71781.40524554624
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00000.csv,12,35,965,731.8543046357615,840.0,246.04213813846658,60536.73373974828
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00001.csv,12,2,964,747.6912751677852,840.0,260.47449988753704,67846.96509166254
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00002.csv,12,12,964,717.2516129032258,840.0,257.3522399370644,66230.17540062436
