file,num_banks,min,max,mean,median,std,variance
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=11--00002.csv,11,3.9999999997377203e-10,8.608800000000499e-07,9.259594025000925e-09,5.200000000011402e-09,2.6134186565305634e-08,6.829957074302015e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00000.csv,12,3.999999999195619e-10,1.3387200000000298e-06,8.87176297850711e-09,4.960000000021718e-09,2.5767095610972656e-08,6.639432162250063e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00001.csv,12,3.999999999195619e-10,5.828800000000096e-07,8.874599363709135e-09,4.639999999999332e-09,2.5598301268859297e-08,6.552730278512836e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=12--00002.csv,12,3.999999999195619e-10,1.0251999999999982e-06,8.864767776910938e-09,4.639999999999332e-09,2.5643415409779353e-08,6.575847538785091e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=13--00000.csv,13,3.999999999195619e-10,1.18592000000002e-06,8.542890779942765e-09,5.439999999946876e-09,2.6632244897511457e-08,7.092764682810251e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=13--00001.csv,13,3.999999999195619e-10,6.133600000000005e-07,8.542456880367318e-09,5.439999999946876e-09,2.814339052341961e-08,7.920504301537048e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=13--00002.csv,13,3.999999999195619e-10,6.071999999999897e-07,8.54411862051041e-09,5.3600000000497e-09,2.8218388325249696e-08,7.962774396745884e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=14--00000.csv,14,3.999999999195619e-10,6.187999999999745e-07,8.066172007973633e-09,5.2800000000441036e-09,2.5024008298958186e-08,6.262009913463282e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=14--00001.csv,14,3.999999999195619e-10,1.252320000000003e-06,8.082168297119022e-09,5.2800000000441036e-09,2.5387831876877066e-08,6.445420074085752e-16
/data/pjattke/project_mcsee/3_sledgehammer/02_acq_7_to_16_banks/sledgehammer-nbanks=14--00002.csv,14,3.999999999195619e-10,6.283199999999967e-07,8.069749315681338e-09,5.2800000000441036e-09,2.509840075384499e-08,6.299297204006067e-16
